                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.5825,                 1.1567,                 1.2469,                 0.6899,                 0.7198,                0.68969,                0.42702,                  1.483,                 1.4616,                 1.1076,               0.007162,               0.007162,               0.007162
                     89,                 1.5678,                 1.1489,                   1.24,                0.69668,                0.72742,                0.69109,                0.42465,                 1.4846,                 1.4388,                 1.1049,               0.007129,               0.007129,               0.007129
                     90,                 1.5727,                 1.1515,                 1.2457,                0.70358,                0.72416,                0.69395,                0.42699,                 1.4621,                 1.4254,                 1.0997,               0.007096,               0.007096,               0.007096
                     91,                 1.5769,                 1.1672,                 1.2447,                0.69124,                0.73326,                0.69162,                0.43039,                 1.4655,                 1.4189,                 1.1035,               0.007063,               0.007063,               0.007063
                     92,                 1.5699,                 1.1452,                 1.2425,                0.69903,                0.72913,                 0.7043,                0.42675,                 1.5001,                 1.4543,                 1.1135,                0.00703,                0.00703,                0.00703
                     93,                 1.5716,                 1.1435,                 1.2399,                0.69058,                0.73558,                 0.6974,                0.42884,                 1.4828,                 1.4254,                 1.1012,               0.006997,               0.006997,               0.006997
                     94,                 1.5765,                 1.1636,                 1.2434,                0.68837,                0.72688,                0.69307,                0.42956,                 1.4618,                 1.4149,                 1.0993,               0.006964,               0.006964,               0.006964
                     95,                  1.567,                 1.1439,                 1.2454,                0.70194,                0.72633,                0.69841,                0.43682,                 1.4678,                 1.4122,                 1.1034,               0.006931,               0.006931,               0.006931
                     96,                 1.5736,                 1.1425,                 1.2427,                0.69401,                0.74374,                0.69811,                0.43498,                 1.4831,                 1.4311,                 1.1039,               0.006898,               0.006898,               0.006898
                     97,                 1.5549,                 1.1336,                 1.2347,                0.70024,                0.72416,                0.70094,                0.43225,                 1.4699,                 1.3901,                 1.1041,               0.006865,               0.006865,               0.006865
                     98,                 1.5563,                 1.1234,                 1.2329,                0.69971,                0.73504,                0.70203,                0.42682,                 1.4858,                 1.4086,                 1.1083,               0.006832,               0.006832,               0.006832
                     99,                 1.5661,                 1.1528,                 1.2406,                0.70984,                0.71763,                0.70193,                 0.4359,                 1.4604,                 1.4208,                 1.1031,               0.006799,               0.006799,               0.006799
                    100,                 1.5604,                 1.1338,                 1.2392,                0.70871,                0.72633,                0.70422,                0.43129,                 1.4873,                 1.4154,                 1.1082,               0.006766,               0.006766,               0.006766
                    101,                 1.5839,                  1.147,                 1.2501,                0.70642,                0.72918,                0.70353,                0.43181,                 1.4826,                  1.434,                 1.1056,               0.006733,               0.006733,               0.006733
                    102,                 1.5665,                 1.1372,                 1.2384,                0.69523,                0.72579,                0.70523,                 0.4362,                 1.4773,                 1.4285,                 1.0994,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.5499,                 1.1407,                 1.2324,                0.70997,                0.73613,                0.70619,                0.43871,                 1.4671,                 1.4242,                 1.0991,               0.006667,               0.006667,               0.006667
                    104,                 1.5579,                 1.1294,                 1.2387,                0.71074,                0.73286,                0.71363,                0.44316,                 1.4621,                 1.4222,                 1.0968,               0.006634,               0.006634,               0.006634
                    105,                 1.5617,                 1.1409,                 1.2422,                0.69515,                0.73885,                0.71082,                0.44073,                 1.4567,                 1.3725,                 1.0951,               0.006601,               0.006601,               0.006601
                    106,                 1.5572,                 1.1377,                  1.235,                0.69481,                0.74592,                0.71175,                 0.4415,                  1.465,                 1.4367,                 1.0962,               0.006568,               0.006568,               0.006568
                    107,                 1.5456,                 1.1215,                 1.2305,                0.69731,                0.74157,                0.71127,                 0.4411,                 1.4632,                 1.3887,                 1.0966,               0.006535,               0.006535,               0.006535
                    108,                 1.5563,                 1.1209,                 1.2362,                0.70063,                0.74362,                0.71062,                0.43981,                 1.4751,                 1.3837,                 1.1016,               0.006502,               0.006502,               0.006502
                    109,                 1.5369,                 1.1075,                 1.2229,                0.70456,                0.72688,                 0.7097,                0.44033,                 1.4689,                 1.3741,                 1.1019,               0.006469,               0.006469,               0.006469
                    110,                 1.5614,                 1.1312,                 1.2302,                0.71802,                0.72035,                0.71511,                0.44212,                 1.4641,                 1.3759,                 1.0989,               0.006436,               0.006436,               0.006436
                    111,                 1.5495,                 1.1147,                 1.2277,                0.70782,                0.72307,                 0.7116,                0.44271,                 1.4587,                 1.4249,                 1.0978,               0.006403,               0.006403,               0.006403
                    112,                  1.551,                 1.1114,                 1.2275,                0.70682,                0.72524,                0.71421,                0.44264,                 1.4521,                 1.4168,                 1.0921,                0.00637,                0.00637,                0.00637
                    113,                 1.5601,                 1.1289,                 1.2308,                0.70395,                0.72851,                0.70875,                0.44144,                 1.4581,                 1.4087,                 1.0969,               0.006337,               0.006337,               0.006337
                    114,                 1.5375,                 1.1064,                 1.2205,                0.69847,                0.73667,                0.70942,                0.44359,                 1.4622,                 1.4211,                 1.0939,               0.006304,               0.006304,               0.006304
                    115,                 1.5457,                 1.1048,                 1.2232,                0.70277,                0.72579,                0.70658,                0.44383,                 1.4604,                 1.4164,                 1.0933,               0.006271,               0.006271,               0.006271
                    116,                 1.5348,                 1.0989,                 1.2225,                0.69655,                0.74374,                0.70949,                0.44454,                  1.458,                 1.3911,                 1.0929,               0.006238,               0.006238,               0.006238
                    117,                 1.5356,                  1.095,                 1.2271,                0.70298,                0.74592,                0.71271,                 0.4427,                 1.4611,                 1.4004,                 1.0899,               0.006205,               0.006205,               0.006205
                    118,                 1.5558,                 1.1159,                 1.2343,                0.70781,                0.74466,                0.71512,                0.44448,                 1.4568,                 1.3842,                 1.0911,               0.006172,               0.006172,               0.006172
