                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1124,                 2.0455,                0.92335,                 1.0227,                0.85072,                0.69024,                0.79343,                0.57159,                0.82103,                0.65993,                0.74741,                0.46855,                0.98853,                 1.9407,                 0.7594,                0.96451,               0.007756,               0.007756,               0.007756
                     71,                 1.1102,                 2.0624,                0.92948,                 1.0219,                 0.8358,                0.69374,                0.78918,                0.56613,                0.83091,                0.64552,                0.74757,                0.47035,                0.98984,                 1.8855,                0.76389,                0.96422,               0.007723,               0.007723,               0.007723
                     72,                 1.1152,                 2.0548,                0.92888,                  1.022,                0.82194,                0.70866,                0.79611,                 0.5697,                0.83148,                0.65643,                0.75712,                0.47907,                0.99834,                 1.9087,                0.75338,                0.96752,                0.00769,                0.00769,                0.00769
                     73,                 1.0993,                 2.0091,                0.90888,                 1.0135,                0.85735,                0.70078,                0.79933,                0.56418,                0.82581,                0.66382,                0.75287,                0.46614,                 1.0223,                 1.9266,                0.73027,                0.98346,               0.007657,               0.007657,               0.007657
                     74,                 1.1126,                 2.0583,                0.92459,                 1.0227,                0.84198,                0.70268,                0.80143,                0.57467,                0.82088,                0.65993,                0.75417,                0.47107,                0.99425,                 1.9027,                0.75467,                0.96407,               0.007624,               0.007624,               0.007624
                     75,                 1.0973,                 2.0368,                0.90993,                 1.0155,                 0.8282,                0.70851,                0.80249,                0.57331,                0.81847,                0.66586,                 0.7577,                0.46842,                0.99234,                 1.9077,                0.74839,                0.96481,               0.007591,               0.007591,               0.007591
                     76,                 1.1113,                 2.0627,                0.91902,                 1.0207,                0.83329,                0.71473,                0.80154,                0.57569,                0.82074,                0.66731,                0.74843,                  0.461,                0.97338,                 1.9013,                0.75925,                0.96517,               0.007558,               0.007558,               0.007558
                     77,                  1.096,                 2.0197,                0.90297,                 1.0134,                0.83757,                0.69763,                0.79745,                  0.574,                0.81541,                0.65643,                0.75042,                0.47144,                 0.9747,                 1.9182,                0.75252,                 0.9677,               0.007525,               0.007525,               0.007525
                     78,                 1.1052,                 2.0512,                0.91953,                 1.0169,                0.83025,                0.71855,                0.80161,                0.56287,                0.83007,                0.65682,                0.75167,                0.46304,                 1.0209,                 1.9223,                0.74358,                0.97599,               0.007492,               0.007492,               0.007492
                     79,                 1.1006,                 2.0414,                0.91411,                 1.0169,                0.83397,                0.71823,                0.80647,                0.57562,                0.81732,                0.67469,                0.76023,                0.47178,                0.97625,                 1.8837,                0.75203,                0.95728,               0.007459,               0.007459,               0.007459
                     80,                 1.1095,                  2.059,                0.91452,                 1.0227,                 0.8398,                 0.7233,                0.80591,                0.57195,                0.81993,                0.68014,                0.75898,                0.47275,                 0.9982,                 1.8921,                0.75449,                0.97735,               0.007426,               0.007426,               0.007426
